area_type,availability,society,location,size,total_sqft,bath,balcony,price
residential,Ready To Move                    31-Jan,GOOD,sec 1,2 BHK,1200,3,2,20000
residential,Ready To Move                    31-Jan,GOOD,sec 2,4 Bedroom,1200,3,2,20000
residential,Ready To Move,GOOD,sec 3,3 BHK,1200,3,2,21000
non-residential,Ready To Move,GOOD,sec 4 ,3 BHK,800,2,1,12000
non-residential,Ready To Move,GOOD,sec 13,2 BHK,800,2,1,12500
non-residential,Ready To Move,GOOD,sec 6,2 BHK,800,2,1,13000
non-residential,Ready To Move                    08-Feb,GOOD,sec 7,4 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec 8,4 BHK,1050,2,2,18000
non-residential,Ready To Move,GOOD,sec 11,3 BHK,750,2,1,10500
non-residential,Ready To Move,GOOD,sec 10,6 Bedroom,800,3,1,13000
non-residential,10-Feb,GOOD,sec 14,3 BHK,1050,2,1,18000
residential,Ready To Move,GOOD,sec 2,4 Bedroom,800,2,1,13000
residential,Ready To Move,GOOD,sec 3,2 BHK,1050,2,2,18000
residential,Ready To Move,GOOD,sec 4 ,2 BHK,800,2,1,18000
residential,Ready To Move,GOOD,sec 10,3 Bedroom,700,2,1,14000
residential,Ready To Move,GOOD,sec 10,2 BHK,1150,2,1,14000
residential,Ready To Move                    15-Feb,GOOD,sec 6,3 BHK,1250,3,2,24000
residential,Ready To Move,GOOD,sec 7,3 BHK,1000,2,1,14000
non-residential,Ready To Move,GOOD,sec 8,3 BHK,750,2,1,14500
residential,Ready To Move,GOOD,sec 7,2 BHK,800,2,1,15000
non-residential,Ready To Move,GOOD,sec 2,1 BHK,1000,2,1,18000
non-residential,Ready To Move,GOOD,sec 4 ,3 BHK,850,2,1,13000
residential,Ready To Move,GOOD,sec 7,4 Bedroom,1100,3,2,20000
residential,Ready To Move,GOOD,sec 8,3 BHK,1150,3,2,22000
residential,Ready To Move,GOOD,sec 6,1 RK,1200,3,2,23500
residential,Ready To Move                    19-Feb,GOOD,sec 1,3 BHK,1250,3,2,24500
residential,Ready To Move,GOOD,sec 2,2 BHK,1050,3,2,18500
non-residential,Ready To Move,GOOD,sec 2,3 BHK,800,2,1,14000
non-residential,Ready To Move,GOOD,sec 2,2 BHK,750,2,1,13500
non-residential,Ready To Move,GOOD,sec 1,3 BHK,800-850,2,1,14000
non-residential,Ready To Move,GOOD,sec 1,4 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec6,3 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec 10,3 BHK,700,2,1,12500
non-residential,Ready To Move,GOOD,sec 11,3 BHK,700,2,1,11500
non-residential,Ready To Move,GOOD,sec 11,3 BHK,400,1,0,9500
non-residential,Ready To Move,GOOD,sec 13,2 BHK,1000,2,1,14500
non-residential,Ready To Move,GOOD,sec 13,2 BHK,950,2,1,12000
non-residential,Ready To Move                    22-Feb,GOOD,sec 14,3 BHK,1000,2,1,14000
non-residential,Ready To Move,GOOD,sec 10,3 BHK,1050,3,1,16000
non-residential,Ready To Move,GOOD,sec 2,2 BHK,800,2,1,13000
residential,Ready To Move,MEDIUM,sec 2,2 BHK,1100,3,2,19500
residential,Ready To Move,GOOD,sec 2,3 BHK,1250,3,2,25000
residential,Ready To Move,GOOD,sec 2,1 BHK,1100,3,2,18000
non-residential,Ready To Move,GOOD,sec 2,1 Bedroom,800,2,1,10000
non-residential,Ready To Move                   25-Feb,GOOD,sec 1,2 BHK,700,2,1,12000
non-residential,Ready To Move,GOOD,sec 10,8 Bedroom,750,2,1,13000
non-residential,Ready To Move,GOOD,sec 8,2 BHK,750,2,1,13000
residential,Ready To Move,GOOD,sec 7,2 BHK,800,2,1,14000
residential,Ready To Move,GOOD,sec 4 ,2 Bedroom,950,2,1,15500
residential,Ready To Move,GOOD,sec 1,2 BHK,800-850,2,1,13000
residential,Ready To Move,GOOD,sec 1,2 BHK,900-950,2,1,14000
residential,Ready To Move,GOOD,sec 4 ,3 BHK,1000,3,1,10000
residential,Ready To Move,GOOD,sec 6,3 BHK,1200,2,1,15000
residential,Ready To Move,GOOD,sec 7,2 BHK,1250,2,1,25000
residential,Ready To Move,GOOD,sec 8,3 BHK,1200,1,2,14000
residential,Ready To Move,GOOD,sec 10,2 BHK,850,2,0,12000
residential,Ready To Move,GOOD,sec 10,4 Bedroom,800,0,0,23000
NON-residential,Ready To Move,GOOD,sec 11,2 BHK,750,0,0,14000
residential,Ready To Move,MEDIUM,sec 13,6 Bedroom,700,1,1,10000
residential,Ready To Move,MEDIUM,sec 14,2 BHK,450,1,0,10000
residential,Ready To Move,MEDIUM,sec 14,3 Bedroom,1050,3,0,12000
residential,Ready To Move,GOOD,sec13,2 BHK,1300,2,1,15000
residential,Ready To Move,BAD,sec 7,4 Bedroom,1250,0,0,14000
residential,Ready To Move,BAD,sec 6,2 BHK,1200,1,1,13500
residential,Ready To Move,GOOD,sec 2,8 Bedroom,750,0,0,15200
residential,Ready To Move,GOOD,sec 1,2 BHK,850,0,0,10000
residential,Ready To Move,GOOD,sec 6,2 BHK,450,1,1,9500
residential,Ready To Move,GOOD,sec 1,2 BHK,650,1,1,9500
residential,Ready To Move,GOOD,sec 1,8 Bedroom,950,2,1,12000
residential,Ready To Move,GOOD,sec 8,2 BHK,900,2,1,12000
residential,Ready To Move,GOOD,sec 7,3 Bedroom,850,2,1,13550
residential,Ready To Move,BAD,sec 6,2 BHK,1200,2,1,18000
residential,Ready To Move,GOOD,sec 6,3 BHK,850,2,1,12000
residential,Ready To Move,GOOD,sec 10,2 BHK,1250,3,1,15000
residential,Ready To Move,GOOD,sec 10,3 BHK,1200,3,1,15500
residential,Ready To Move,GOOD,sec 10,2 BHK,2500,4,3,30000
residential,Ready To Move,GOOD,sec 6,2 BHK,2500,4,3,35000
residential,Ready To Move,MEDIUM,sec 4 ,3 BHK,2400,3,3,28000
residential,Ready To Move,MEDIUM,sec 10,2 BHK,1250,3,2,14000
